SKU,Nombre_Producto,Descripcion,Categoria,Subcategoria,Marca,Precio_Unitario_EUR,Costo_Unitario_EUR,Stock_Actual,Stock_Minimo,Ubicacion_Almacen,Proveedor_ID,Fecha_Ultima_Recepcion,Peso_Kg,Dimensiones_cm_LxAxH,Color,Material,Estado_Producto
PROD-COS-0001,Perfumes ColorVibrante Dolor 442,Quae distinctio maiores minus eveniet dignissimos ipsum deserunt.,Cosmética,Perfumes,ColorVibrante,118.77,56.42,904,29,A3-S2-B5,PROV-045,2025-01-24,1.78,83x20x14,Verde,Plástico,Activo
PROD-COS-0002,Cuidado Corporal ColorVibrante Nihil Basic49,Aut repudiandae quisquam nihil ab molestias.,Cosmética,Cuidado Corporal,ColorVibrante,2441.87,1314.4,597,29,A1-S6-B4,PROV-044,2025-01-10,14.31,58x51x36,Rojo,Metal,Próximamente
PROD-COS-0003,Maquillaje ColorVibrante Quam Basic553,Quia repudiandae perspiciatis saepe reiciendis nulla voluptate.,Cosmética,Maquillaje,ColorVibrante,968.67,418.66,383,14,A2-S3-B2,PROV-039,2024-10-13,2.01,37x70x1,Rojo,Papel,Descontinuado
PROD-JUG-0004,Peluches DivertiKids Ratione Eco950,Ipsa quod ipsum ducimus ut voluptatum soluta magnam officiis iste.,Juguetes,Peluches,DivertiKids,979.15,389.2,747,36,B2-S3-B5,PROV-024,2024-12-03,9.13,66x12x4,Transparente,Aluminio,Bajo Pedido
PROD-LIB-0005,Ficción MundoLiterario At Basic809,Fugit explicabo dignissimos sapiente quia similique reiciendis sed distinctio eos alias exercitationem est.,Libros,Ficción,MundoLiterario,174.5,87.41,87,17,B2-S8-B4,PROV-023,2025-03-22,8.45,15x23x3,N/A,Papel,Activo
PROD-JUG-0006,Peluches EduPlay Atque Pro465,Repellendus voluptatibus laborum enim aliquid sunt esse repudiandae qui vero.,Juguetes,Peluches,EduPlay,1644.45,595.0,377,27,B3-S4-B3,PROV-040,2025-03-04,6.78,79x46x36,Transparente,Aluminio,Bajo Pedido
PROD-HOG-0007,Muebles CocinaFácil At 615,Incidunt odio voluptatem quisquam voluptas modi recusandae quia praesentium facilis.,Hogar,Muebles,CocinaFácil,295.97,166.76,105,26,D1-S10-B2,PROV-034,2024-11-17,10.55,7x66x44,Plateado,Poliéster,Activo
PROD-ALI-0008,Fresco QuickBite Nisi XL499,Excepturi culpa officia facilis voluptate impedit corrupti inventore repellendus facilis quis molestiae.,Alimentación,Fresco,QuickBite,1966.87,1091.51,156,34,A2-S8-B5,PROV-007,2025-03-21,23.19,16x53x20,N/A,N/A,Bajo Pedido
PROD-LIB-0009,No Ficción MundoLiterario Quod Eco50,Est aspernatur adipisci eaque eos occaecati iusto sed.,Libros,No Ficción,MundoLiterario,2251.0,1554.81,698,23,C1-S6-B1,PROV-040,2024-09-29,18.88,15x23x1,N/A,Algodón,Descontinuado
PROD-HOG-0010,Cocina CleanFast Illo XL790,Rem magni molestiae eaque mollitia laudantium rerum quisquam ea impedit accusamus accusantium alias.,Hogar,Cocina,CleanFast,64.73,34.97,975,22,C4-S3-B3,PROV-044,2024-10-03,6.59,41x79x12,Azul,Plástico,Bajo Pedido
