ID_Detalle_Venta,ID_Venta,ID_Cliente,SKU_Producto,Fecha_Hora_Venta,Cantidad,Precio_Unitario_Venta_EUR,Descuento_Aplicado_Porc,Precio_Total_Linea_EUR,Metodo_Pago,ID_Vendedor,ID_Tienda_o_Canal,Impuestos_IVA_EUR,Costo_Envio_Aplicado_EUR,Estado_Pedido,Numero_Seguimiento_Envio,Moneda
DET00001,VNT-2025-1249-0001,CL1000,PROD-HOG-0996,2025-03-02 11:16:20,2,375.27,0.15,637.96,PayPal,VEND14,ONLINE,133.97,15.89,Cancelado,,EUR
DET00002,VNT-2025-1249-0002,CL1800,PROD-HOG-0221,2024-06-16 03:42:18,4,374.42,0.05,1422.8,Bizum,VEND05,TIENDA-MEX,298.79,0,Cancelado,,EUR
DET00003,VNT-2025-1249-0002,CL1800,PROD-ELE-1218,2024-06-16 03:42:18,2,195.53,0.05,371.51,Bizum,VEND05,TIENDA-MEX,78.02,0,Cancelado,,EUR
DET00004,VNT-2025-1249-0002,CL1800,PROD-COS-0910,2024-06-16 03:42:18,3,395.22,0.0,1185.66,Bizum,VEND05,TIENDA-MEX,248.99,0,Cancelado,,EUR
DET00005,VNT-2025-1249-0003,CL1491,PROD-ELE-1562,2025-01-31 09:34:47,5,295.18,0.1,1328.31,Contra Reembolso,VEND01,TIENDA-MEX,278.95,0,Procesando,,EUR
DET00006,VNT-2025-1249-0004,CL0924,PROD-ROP-1738,2025-01-18 01:23:27,4,403.65,0.0,1614.6,Tarjeta Crédito,VEND14,ONLINE,339.07,18.12,Entregado,TRK564490939ES,EUR
DET00007,VNT-2025-1249-0004,CL0924,PROD-ELE-1779,2025-01-18 01:23:27,1,56.99,0.15,48.44,Tarjeta Crédito,VEND14,ONLINE,10.17,18.12,Entregado,TRK564490939ES,EUR
DET00008,VNT-2025-1249-0004,CL0924,PROD-JUG-0741,2025-01-18 01:23:27,2,81.48,0.15,138.52,Tarjeta Crédito,VEND14,ONLINE,29.09,18.12,Entregado,TRK564490939ES,EUR
DET00009,VNT-2025-1249-0005,CL1117,PROD-JUG-1729,2025-01-31 05:05:17,4,448.45,0.05,1704.11,Bizum,VEND12,APP,357.86,0,Pendiente Pago,,ARS
DET00010,VNT-2025-1249-0006,CL0095,PROD-HOG-0159,2024-12-10 23:51:57,5,363.83,0.0,1819.15,Contra Reembolso,VEND13,TIENDA-BCN,382.02,0,Enviado,TRK244649845MX,ARS
DET00011,VNT-2025-1249-0007,CL0480,PROD-HOG-1719,2024-10-06 06:39:23,1,202.57,0.05,192.44,Efectivo,VEND03,TELEFONO,40.41,0,Pendiente Pago,,ARS
DET00012,VNT-2025-1249-0007,CL0480,PROD-HOG-1847,2024-10-06 06:39:23,3,326.97,0.0,980.91,Efectivo,VEND03,TELEFONO,205.99,0,Pendiente Pago,,ARS
DET00013,VNT-2025-1249-0008,CL1607,PROD-ROP-0991,2025-01-20 14:01:00,1,242.8,0.0,242.8,Tarjeta Crédito,VEND13,TELEFONO,50.99,0,Pendiente Pago,,ARS
DET00014,VNT-2025-1249-0008,CL1607,PROD-ALI-0344,2025-01-20 14:01:00,3,197.53,0.1,533.33,Tarjeta Crédito,VEND13,TELEFONO,112.0,0,Pendiente Pago,,ARS
DET00015,VNT-2025-1249-0009,CL0989,PROD-ALI-0931,2024-10-01 18:22:03,2,331.91,0.05,630.63,Tarjeta Crédito,VEND01,APP,132.43,0,Devuelto,,EUR
DET00016,VNT-2025-1249-0009,CL0989,PROD-JUG-0233,2024-10-01 18:22:03,2,447.42,0.2,715.87,Tarjeta Crédito,VEND01,APP,150.33,0,Devuelto,,EUR
DET00017,VNT-2025-1249-0009,CL0989,PROD-JUG-0562,2024-10-01 18:22:03,3,9.03,0.1,24.38,Tarjeta Crédito,VEND01,APP,5.12,0,Devuelto,,EUR
DET00018,VNT-2025-1249-0010,CL0367,PROD-JUG-1759,2024-09-08 13:36:52,5,402.83,0.05,1913.44,Tarjeta Débito,VEND15,APP,401.82,0,Entregado,TRK293427115CO,ARS
DET00019,VNT-2025-1249-0011,CL0485,PROD-LIB-1357,2024-12-16 22:11:49,1,430.66,0.05,409.13,Transferencia,VEND_ONLINE,TIENDA-MEX,85.92,0,Devuelto,,EUR
DET00020,VNT-2025-1249-0012,CL1312,PROD-ALI-0791,2024-05-04 09:18:27,5,277.25,0.05,1316.94,Efectivo,VEND10,TIENDA-BOG,276.56,0,Entregado,TRK726615356ES,ARS
DET00021,VNT-2025-1249-0013,CL1692,PROD-ROP-1939,2025-03-23 01:08:59,4,409.74,0.0,1638.96,Tarjeta Débito,VEND05,TIENDA-MAD,344.18,0,Entregado,TRK197336655CO,ARS
DET00022,VNT-2025-1249-0014,CL0522,PROD-LIB-0548,2025-01-27 06:17:20,3,485.21,0.05,1382.85,Transferencia,VEND_ONLINE,TELEFONO,290.4,0,Entregado,TRK856515292ES,EUR
DET00023,VNT-2025-1249-0014,CL0522,PROD-LIB-0548,2025-01-27 06:17:20,2,108.65,0.05,206.44,Transferencia,VEND_ONLINE,TELEFONO,43.35,0,Entregado,TRK856515292ES,EUR
DET00024,VNT-2025-1249-0015,CL0771,PROD-ELE-0254,2024-06-23 20:28:57,2,488.61,0.05,928.36,Tarjeta Débito,VEND08,TIENDA-BCN,194.96,0,Cancelado,,EUR
DET00025,VNT-2025-1249-0016,CL0466,PROD-ELE-0660,2025-03-08 08:48:14,3,384.71,0.05,1096.42,Transferencia,VEND03,TIENDA-MAD,230.25,0,Enviado,TRK482947595CO,USD
DET00026,VNT-2025-1249-0016,CL0466,PROD-ELE-0608,2025-03-08 08:48:14,3,410.94,0.15,1047.9,Transferencia,VEND03,TIENDA-MAD,220.06,0,Enviado,TRK482947595CO,USD
DET00027,VNT-2025-1249-0017,CL1660,PROD-HOG-0755,2024-08-23 05:59:55,2,119.76,0.2,191.62,Tarjeta Crédito,VEND_ONLINE,TIENDA-MAD,40.24,0,Cancelado,,MXN
DET00028,VNT-2025-1249-0017,CL1660,PROD-LIB-1899,2024-08-23 05:59:55,1,210.09,0.1,189.08,Tarjeta Crédito,VEND_ONLINE,TIENDA-MAD,39.71,0,Cancelado,,MXN
DET00029,VNT-2025-1249-0018,CL0058,PROD-ALI-1250,2025-02-13 19:06:16,3,367.05,0.2,880.92,Tarjeta Débito,VEND07,TIENDA-BCN,184.99,0,Enviado,TRK783771570ES,MXN
DET00030,VNT-2025-1249-0019,CL0462,PROD-JUG-1729,2024-07-30 08:25:55,1,199.32,0.1,179.39,Transferencia,VEND13,ONLINE,37.67,1.34,Cancelado,,COP
DET00031,VNT-2025-1249-0019,CL0462,PROD-COS-1534,2024-07-30 08:25:55,5,67.01,0.0,335.05,Transferencia,VEND13,ONLINE,70.36,1.34,Cancelado,,COP
DET00032,VNT-2025-1249-0020,CL0496,PROD-HOG-1886,2025-02-21 22:06:35,1,363.65,0.05,345.47,Transferencia,VEND14,TIENDA-BCN,72.55,0,Devuelto,,COP
DET00033,VNT-2025-1249-0020,CL0496,PROD-COS-0274,2025-02-21 22:06:35,2,282.15,0.2,451.44,Transferencia,VEND14,TIENDA-BCN,94.8,0,Devuelto,,COP
DET00034,VNT-2025-1249-0021,CL1971,PROD-ALI-0225,2024-05-06 20:21:33,3,406.05,0.1,1096.34,Tarjeta Débito,VEND05,TIENDA-BOG,230.23,0,Enviado,TRK152428478ES,MXN
DET00035,VNT-2025-1249-0021,CL1971,PROD-COS-1233,2024-05-06 20:21:33,4,384.0,0.0,1536.0,Tarjeta Débito,VEND05,TIENDA-BOG,322.56,0,Enviado,TRK152428478ES,MXN
DET00036,VNT-2025-1249-0022,CL1420,PROD-ROP-0788,2024-10-02 23:51:56,2,175.62,0.15,298.55,Tarjeta Débito,VEND14,ONLINE,62.7,2.89,Pendiente Pago,,ARS
DET00037,VNT-2025-1249-0023,CL0032,PROD-ROP-0768,2025-03-15 14:47:50,3,121.98,0.1,329.35,Tarjeta Débito,VEND_ONLINE,TIENDA-BCN,69.16,0,Entregado,TRK897358907ES,EUR
DET00038,VNT-2025-1249-0024,CL1687,PROD-HOG-0185,2025-03-29 09:18:16,1,279.15,0.05,265.19,Bizum,VEND13,TIENDA-MEX,55.69,0,Entregado,TRK755915069US,ARS
DET00039,VNT-2025-1249-0025,CL0480,PROD-ELE-0701,2024-12-18 20:07:14,2,365.29,0.0,730.58,Bizum,VEND06,APP,153.42,0,Entregado,TRK991376510MX,EUR
DET00040,VNT-2025-1249-0026,CL0266,PROD-JUG-1443,2024-04-14 08:58:13,1,18.37,0.15,15.61,PayPal,VEND14,TIENDA-BCN,3.28,0,Procesando,,USD
DET00041,VNT-2025-1249-0027,CL1170,PROD-ROP-1683,2024-10-24 04:44:58,4,336.16,0.15,1142.94,Tarjeta Débito,VEND15,TIENDA-BCN,240.02,0,Cancelado,,ARS
DET00042,VNT-2025-1249-0028,CL0653,PROD-ALI-0084,2024-09-15 23:33:52,2,43.69,0.1,78.64,Tarjeta Crédito,VEND09,TIENDA-BOG,16.51,0,Cancelado,,EUR
DET00043,VNT-2025-1249-0029,CL1902,PROD-LIB-1862,2024-12-04 14:54:43,5,162.46,0.0,812.3,Bizum,VEND13,TELEFONO,170.58,0,Cancelado,,USD
DET00044,VNT-2025-1249-0030,CL1004,PROD-ROP-1354,2024-07-08 09:58:41,4,57.32,0.0,229.28,PayPal,VEND07,ONLINE,48.15,0.13,Devuelto,,EUR
DET00045,VNT-2025-1249-0031,CL0876,PROD-ELE-0789,2024-04-22 10:00:30,3,390.84,0.05,1113.89,Contra Reembolso,VEND04,TIENDA-MEX,233.92,0,Devuelto,,EUR
DET00046,VNT-2025-1249-0032,CL0040,PROD-ALI-0566,2024-06-14 15:10:46,2,37.49,0.0,74.98,Bizum,VEND10,TIENDA-BCN,15.75,0,Pendiente Pago,,EUR
DET00047,VNT-2025-1249-0033,CL0768,PROD-ROP-1547,2024-08-05 06:29:29,1,141.03,0.1,126.93,Tarjeta Débito,VEND07,ONLINE,26.66,6.28,Procesando,,ARS
DET00048,VNT-2025-1249-0033,CL0768,PROD-ELE-0230,2024-08-05 06:29:29,4,390.79,0.05,1485.0,Tarjeta Débito,VEND07,ONLINE,311.85,6.28,Procesando,,ARS
DET00049,VNT-2025-1249-0034,CL1072,PROD-ALI-0839,2024-12-17 04:19:44,3,323.71,0.0,971.13,Tarjeta Crédito,VEND01,TIENDA-BCN,203.94,0,Enviado,TRK264382565US,COP
DET00050,VNT-2025-1249-0035,CL1129,PROD-ROP-0231,2024-10-31 01:55:47,1,328.36,0.2,262.69,Bizum,VEND09,TELEFONO,55.16,0,Devuelto,,COP
DET00051,VNT-2025-1249-0036,CL0545,PROD-JUG-0932,2025-01-08 17:46:16,3,36.28,0.1,97.96,Tarjeta Débito,VEND07,ONLINE,20.57,18.62,Cancelado,,USD
DET00052,VNT-2025-1249-0037,CL1808,PROD-ELE-1971,2024-06-03 10:28:11,4,423.49,0.15,1439.87,Contra Reembolso,VEND02,TELEFONO,302.37,0,Enviado,TRK293990400CO,EUR
DET00053,VNT-2025-1249-0037,CL1808,PROD-ELE-1941,2024-06-03 10:28:11,4,373.7,0.0,1494.8,Contra Reembolso,VEND02,TELEFONO,313.91,0,Enviado,TRK293990400CO,EUR
